fl_iter,main_task_acc,backdoor_acc,raw_task_acc,adv_norm_diff,wg_norm
59,90.3075,31.0,97.875,2.154080390930176,10.278972625732422
60,92.5725,28.0,97.75,2.1036016941070557,10.281951904296875
61,92.895,29.0,97.375,0.0,10.2852144241333
62,92.635,29.0,96.7,2.176884889602661,10.287190437316895
63,92.805,25.0,98.0,0.0,10.284278869628906
64,92.4775,24.0,90.85,0.0,10.286657333374023
65,92.445,23.0,91.225,2.110262155532837,10.297866821289062
66,91.79,24.0,91.275,0.0,10.29987621307373
67,92.55,22.0,90.8,0.0,10.303804397583008
68,90.9625,21.0,96.725,0.0,10.304076194763184
69,92.2125,21.0,96.85,2.1677560806274414,10.312335014343262
70,90.5775,20.0,91.725,0.0,10.318755149841309
71,90.63,23.0,91.65,2.0264813899993896,10.326742172241211
72,91.88,23.0,97.975,0.0,10.32957935333252
73,92.3675,21.0,97.6,0.0,10.33985710144043
74,92.5575,23.0,96.75,0.0,10.34184455871582
75,91.8625,32.0,96.975,0.0,10.340632438659668
76,93.2975,23.0,97.375,2.3354086875915527,10.346574783325195
77,93.51,21.0,97.875,0.0,10.344120025634766
78,93.19,17.0,96.45,2.1944098472595215,10.353672981262207
79,93.1825,21.0,96.775,2.252927303314209,10.357466697692871
80,92.5025,22.0,96.575,0.0,10.357983589172363
81,92.515,18.0,96.55,0.0,10.358628273010254
82,93.2625,20.0,95.8,0.0,10.359915733337402
83,93.555,19.0,95.15,0.0,10.363435745239258
84,92.7575,21.0,96.275,0.0,10.368922233581543
85,92.995,17.0,95.475,0.0,10.371253967285156
86,92.91,22.0,96.475,2.106213331222534,10.373629570007324
87,92.985,14.0,92.95,0.0,10.372795104980469
88,92.2075,17.0,90.025,2.184123992919922,10.373435974121094
89,92.86,15.0,96.775,2.265138626098633,10.375786781311035
90,93.53,14.0,96.9,0.0,10.381424903869629
91,93.1875,13.0,97.075,0.0,10.381579399108887
92,93.7225,13.0,96.275,0.0,10.383021354675293
93,93.565,14.0,95.425,0.0,10.385980606079102
94,91.8,14.0,99.075,0.0,10.388113021850586
95,92.4825,17.0,98.9,0.0,10.395245552062988
96,92.21,19.0,98.675,0.0,10.396657943725586
97,92.455,19.0,98.075,2.4572978019714355,10.407881736755371
98,92.31,15.0,97.975,2.085710048675537,10.40625
99,92.44,6.0,97.225,0.0,10.405502319335938
100,92.8375,11.0,96.55,0.0,10.40976333618164
101,93.47,11.0,96.275,2.2399168014526367,10.420089721679688
102,92.885,14.0,96.65,0.0,10.420717239379883
103,91.2175,23.0,96.35,0.0,10.428330421447754
104,93.4525,18.0,98.525,2.0889699459075928,10.426565170288086
105,92.665,17.0,97.1,0.0,10.426764488220215
106,92.55,18.0,96.9,0.0,10.434109687805176
107,93.115,17.0,96.15,0.0,10.440871238708496
108,93.2425,16.0,96.275,2.805037260055542,10.443914413452148
109,93.4025,18.0,93.25,2.636016368865967,10.444494247436523
110,94.09,18.0,94.675,0.0,10.452261924743652
111,93.6125,18.0,98.575,0.0,10.453343391418457
112,92.9675,18.0,98.15,0.0,10.457533836364746
113,93.07,18.0,98.025,2.2613277435302734,10.458731651306152
