round,has_attacker,trusted_krum_s,adv_krum_s_avg,ben_krum_s_avg,adv_krum_s,ben_krum_s
21,True,9.88438716383082,28.418968958336688,12.266833840883052,[25.9926954  25.85495299 31.10886859 30.71935885],[12.36551065 11.93977917 15.63628081 10.29319699 13.48184826  9.88438716]
22,False,5.5114938086455005,8.870209549694348,7.1352595613066025,[ 9.41811884  6.86244719 13.22648183  8.16487248  6.6791274 ],[7.49911993 5.51149381 6.72465606 7.49874706 8.44228095]
23,True,11.775784501304074,17.00548876497217,24.510659776803568,[19.07735087 16.56231468 15.37680075],"[37.34097041 22.65800842 11.7757845  31.87630369 16.85973034 37.74012225
 13.32369883]"
24,True,6.847629269682152,29.34846285737368,8.202003269707962,[30.80343816 26.9342946  30.30765581],"[12.23511508  7.38400824  6.92877457  6.84762927  7.38953761  7.31765768
  9.31130045]"
25,True,9.775732045096142,25.857418593822878,11.13763293333101,[28.34841516 26.04709922 13.42199888 27.56044813 33.90913159],[11.61511597 10.21854805  9.77573205 13.76440259 10.31436602]
26,False,8.425384063168451,14.99495084253044,9.847473875915503,"[12.38833401  9.43884291 25.18602131 10.64885813 27.28039188  9.90778249
 10.11442516]",[11.58704066  9.5299969   8.42538406]
27,True,11.310300880935575,27.360358170681184,14.442675165228716,[32.15552893 18.08477857 31.30700939 26.50766109 28.74681287],[12.4719781  11.31030088 15.88923626 13.78803239 18.7538282 ]
28,True,9.110145685528273,34.11090148207537,11.489265397579018,[26.27282603 42.55669677 33.50318165],"[13.63726826  9.11014569 10.54241575 13.14822524 10.41779091 14.24490407
  9.32410787]"
29,True,11.81621623972396,25.35787191438458,13.668523700332937,[15.3176192  14.81134868 29.74353443 31.64708147 35.26977579],[14.26280272 15.51322707 12.28860436 14.46176812 11.81621624]
30,True,8.515377683774815,10.828408307005578,15.115859265717143,[ 9.25184808  9.8339841  11.16622303 14.22325571  9.66673062],[32.55686845 12.87125795 10.24295175 11.39284049  8.51537768]
31,True,9.716776378287754,27.234824819723915,13.156209504461613,[29.61814507 16.23072839 30.1038874  32.98653841],[11.99475663 12.93306375  9.71677638 15.59995817 12.21811354 16.47458856]
32,True,13.087352578169558,33.49371272050587,14.798755760069135,[34.60170718 29.47976974 31.75172866 38.1416453 ],[13.66285513 14.0404883  15.63146475 14.84201313 17.52836068 13.08735258]
33,True,7.255516077866709,28.862292601329617,9.386705575570668,[28.67056731 25.55650549 32.35980501],"[ 9.42927255  8.07129832 10.1442533   7.85123879 12.88883205 10.06652793
  7.25551608]"
